sport,country,league,season,team,overall_rank,home_rank,home_mp,home_w,home_wo,home_lo,home_d,home_l,home_gf,home_ga,home_pts,away_rank,away_mp,away_w,away_wo,away_lo,away_d,away_l,away_gf,away_ga,away_pts,scraped_date
football,World,Viareggio Cup,2019,Parma U19,1,1,3,3,,,0,0,9,1,9,1,3,3,,,0,0,9,1,9,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Tajikistan U18,3,3,3,0,,,2,1,5,10,2,3,3,0,,,2,1,5,10,2,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Kyrgyzstan U18,4,4,3,0,,,1,2,2,6,1,4,3,0,,,1,2,2,6,1,2020-12-15
football,World,Universiade,2019,Ireland Univ.,1,1,2,1,,,1,0,4,3,4,1,2,1,,,1,0,4,3,4,2020-12-15
football,World,Viareggio Cup,2019,Venezia U19,2,2,3,2,,,0,1,9,4,6,2,3,2,,,0,1,9,4,6,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Argentina U18,1,1,3,3,,,0,0,8,3,9,1,3,3,,,0,0,8,3,9,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Russia U18 2,2,2,3,2,,,0,1,5,3,6,2,3,2,,,0,1,5,3,6,2020-12-15
football,World,Universiade,2019,South Korea Univ.,2,2,2,1,,,0,1,4,4,3,2,2,1,,,0,1,4,4,3,2020-12-15
football,World,Universiade,2019,Uruguay Univ.,3,3,2,0,,,1,1,2,3,1,3,2,0,,,1,1,2,3,1,2020-12-15
football,World,Viareggio Cup,2019,Nania U19,3,3,3,1,,,0,2,4,5,3,3,3,1,,,0,2,4,5,3,2020-12-15
football,World,Viareggio Cup,2019,Euro New York U19,4,4,3,0,,,0,3,1,13,0,4,3,0,,,0,3,1,13,0,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Iran U18,3,3,3,1,,,0,2,5,6,3,3,3,1,,,0,2,5,6,3,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Armenia U18,4,4,3,0,,,0,3,0,6,0,4,3,0,,,0,3,0,6,0,2020-12-15
football,World,Universiade,2019,Italy Univ.,1,1,2,2,,,0,0,4,0,6,1,2,2,,,0,0,4,0,6,2020-12-15
football,World,Viareggio Cup,2019,Sassuolo U19,1,1,3,2,,,0,1,7,1,6,1,3,2,,,0,1,7,1,6,2020-12-15
football,World,Universiade,2019,Ukraine Univ.,2,2,2,1,,,0,1,1,2,3,2,2,1,,,0,1,1,2,3,2020-12-15
football,World,Viareggio Cup,2019,FK Rigas U19,2,2,3,2,,,0,1,5,3,6,2,3,2,,,0,1,5,3,6,2020-12-15
football,World,Universiade,2019,Mexico Univ.,3,3,2,0,,,0,2,0,3,0,3,2,0,,,0,2,0,3,0,2020-12-15
football,World,Viareggio Cup,2019,Benevento U19,3,3,3,1,,,1,1,1,1,4,3,3,1,,,1,1,1,1,4,2020-12-15
football,World,Universiade,2019,Brazil Univ.,1,1,2,1,,,1,0,4,1,4,1,2,1,,,1,0,4,1,4,2020-12-15
football,World,Viareggio Cup,2019,Pontedera U19,4,4,3,0,,,1,2,2,10,1,4,3,0,,,1,2,2,10,1,2020-12-15
football,World,Viareggio Cup,2019,AC Milan U19,1,1,3,3,,,0,0,7,2,9,1,3,3,,,0,0,7,2,9,2020-12-15
football,World,Universiade,2019,France Univ.,2,2,2,1,,,1,0,4,2,4,2,2,1,,,1,0,4,2,4,2020-12-15
football,World,Universiade,2019,South Africa Univ.,3,3,2,0,,,0,2,1,6,0,3,2,0,,,0,2,1,6,0,2020-12-15
football,World,Viareggio Cup,2019,Berekum Chelsea U19,2,2,3,2,,,0,1,5,2,6,2,3,2,,,0,1,5,2,6,2020-12-15
football,World,Universiade,2019,Japan Univ.,1,1,2,2,,,0,0,7,1,6,1,2,2,,,0,0,7,1,6,2020-12-15
football,World,Viareggio Cup,2019,Spezia U19,3,3,3,1,,,0,2,4,5,3,3,3,1,,,0,2,4,5,3,2020-12-15
football,World,Universiade,2019,Russia Univ.,2,2,2,1,,,0,1,3,4,3,2,2,1,,,0,1,3,4,3,2020-12-15
football,World,Viareggio Cup,2019,Carrarese U19,4,4,3,0,,,0,3,2,9,0,4,3,0,,,0,3,2,9,0,2020-12-15
football,World,Viareggio Cup,2019,Fiorentina U19,1,1,3,2,,,1,0,7,2,7,1,3,2,,,1,0,7,2,7,2020-12-15
football,World,Universiade,2019,Argentina Univ.,3,3,2,0,,,0,2,0,5,0,3,2,0,,,0,2,0,5,0,2020-12-15
football,World,Viareggio Cup,2019,Perugia U19,2,2,3,2,,,0,1,4,4,6,2,3,2,,,0,1,4,4,6,2020-12-15
football,World,Viareggio Cup,2019,Krasnodar U19,3,3,3,1,,,1,1,9,5,4,3,3,1,,,1,1,9,5,4,2020-12-15
football,World,Viareggio Cup,2019,Westchester U19,4,4,3,0,,,0,3,2,11,0,4,3,0,,,0,3,2,11,0,2020-12-15
football,World,Viareggio Cup,2019,Genoa U19,1,1,3,2,,,1,0,5,3,7,1,3,2,,,1,0,5,3,7,2020-12-15
football,World,Viareggio Cup,2019,Dukla Prague U19,2,2,3,2,,,0,1,7,4,6,2,3,2,,,0,1,7,4,6,2020-12-15
football,World,Viareggio Cup,2019,Livorno U19,3,3,3,1,,,0,2,3,5,3,3,3,1,,,0,2,3,5,3,2020-12-15
football,World,Slovakia Cup,2020,Russia U18,1,1,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,2020-12-15
football,World,Viareggio Cup,2019,Atlantida Juniors U19,4,4,3,0,,,1,2,2,5,1,4,3,0,,,1,2,2,5,1,2020-12-15
football,World,Slovakia Cup,2020,USA U18,2,2,0,0,,,0,0,0,0,0,2,0,0,,,0,0,0,0,0,2020-12-15
football,World,Viareggio Cup,2019,Serie D team U19,1,1,3,2,,,1,0,5,1,7,1,3,2,,,1,0,5,1,7,2020-12-15
football,World,Viareggio Cup,2019,Spal U19,2,2,3,2,,,0,1,4,2,6,2,3,2,,,0,1,4,2,6,2020-12-15
