sport,country,league
football,Italy,Serie C - Promotion - Play Offs
football,Italy,Serie C - Play Out
football,Italy,Serie D - Group A
football,Italy,Serie D - Group B
football,Italy,Serie D - Group C
football,Italy,Serie D - Group D
football,Italy,Serie D - Group E
football,Italy,Serie D - Group F
football,Italy,Serie D - Group G
football,Italy,Serie D - Group H
football,Italy,Serie D - Group I
football,Italy,Serie D - Play Offs
football,Italy,Serie D - Winners stage
football,Italy,Serie D - Play Out
football,Italy,Coppa Italia
football,Italy,Coppa Italia Serie C
football,Italy,Coppa Italia Serie D
football,Italy,Super Cup
football,Italy,Super Cup (Serie C)
football,Italy,Primavera 1
football,Italy,Primavera 2
football,Italy,Coppa Italia Primavera
football,Italy,Supercoppa Primavera
football,Italy,Serie A Women
football,Italy,Serie B Women
football,Italy,Coppa Italia Women
football,Italy,Super Cup Women
football,Israel,Ligat ha'Al
football,Israel,Leumit League
football,Israel,Liga Alef North
football,Israel,Liga Alef South
football,Israel,Liga Alef - Promotion Play Offs
football,Israel,Liga Alef - Relegation
football,Israel,State Cup
football,Israel,Toto Cup
football,Israel,Super Cup
football,Ireland,Premier Division
football,Ireland,Division 1
football,Ireland,FAI Cup
football,Ireland,League Cup
football,Ireland,Super Cup
football,Ireland,National League Women
football,Iraq,Super League
football,Iran,Persian Gulf Pro League
football,Iran,Division 1
football,Iran,Hazfi Cup
football,Iran,Super Cup
football,Indonesia,Liga 1
football,Indonesia,Liga 2
football,Indonesia,President Cup
football,Indonesia,Piala Indonesia
football,India,ISL
football,India,I-League
football,India,Calcutta Football League
football,India,Santosh Trophy
football,India,Durand Cup
football,India,Hero Super Cup
football,Iceland,Pepsideild
football,Iceland,Inkasso-deildin
football,Iceland,Division 2
football,Iceland,League Cup
football,Iceland,Icelandic Cup
football,Iceland,Reykjavik Cup
football,Iceland,Fotbolti.net Cup
football,Iceland,Super Cup
football,Iceland,Urvalsdeild Women
football,Iceland,Icelandic Cup Women
football,Hungary,OTP Bank Liga
football,Hungary,Merkantil Bank Liga
football,Hungary,NB III - East
football,Hungary,NB III - Centre
football,Hungary,NB III - West
football,Hungary,Hungarian Cup
football,Hungary,NB I Women
football,Hong Kong,Premier League
football,Hong Kong,FA Cup
football,Hong Kong,Senior Shield
football,Honduras,Liga Nacional
football,Haiti,Championnat National
football,Guinea,Ligue 1
football,Guatemala,Liga Nacional
football,Greece,Super League
football,Greece,Super League 2
football,Greece,Football League
football,Greece,Gamma Ethniki - Group 1
football,Greece,Gamma Ethniki - Group 2
football,Greece,Gamma Ethniki - Group 3
football,Greece,Gamma Ethniki - Group 4
football,Greece,Gamma Ethniki - Group 5
football,Greece,Gamma Ethniki - Group 6
football,Greece,Gamma Ethniki - Group 7
football,Greece,Gamma Ethniki - Group 8
football,Greece,Gamma Ethniki - Group 9
football,Greece,Gamma Ethniki - Group 10
football,Greece,Gamma Ethniki - Promotion Play-offs
football,Greece,Greek Cup
football,Gibraltar,Gibraltar Cup
football,Gibraltar,National League
football,Gibraltar,League Cup
football,Ghana,Premier League
football,Ghana,Special Competition
football,Germany,Bundesliga
football,Germany,2. Bundesliga
football,Germany,3. Liga
football,Germany,Regionalliga North
football,Germany,Regionalliga Nordost
football,Germany,Regionalliga West
football,Germany,Regionalliga Sudwest
football,Germany,Regionalliga Bayern
football,Germany,Regionalliga Play Offs
football,Germany,Oberliga NOFV-Nord
football,Germany,Oberliga NOFV- Sud
football,Germany,Oberliga NOFV - Relegation
football,Germany,Oberliga Schleswig-Holstein
football,Germany,Oberliga Hamburg
football,Germany,Oberliga Bremen
football,Germany,Oberliga Niedersachsen
football,Germany,Oberliga Westfalen
football,Germany,Oberliga Hessen
football,Germany,Oberliga Rheinland-Pfalz/Saar
football,Germany,Oberliga Bayern Nord
football,Germany,Oberliga Bayern Süd
football,Germany,Oberliga Baden-Württemberg
football,Germany,Oberliga Mittelrhein
football,Germany,Oberliga Niederrhein
football,Germany,Oberliga NRW
football,Germany,Oberliga Sudwest
football,Germany,Oberliga Bayern
football,Germany,Oberliga Bayern - Relegation
football,Georgia,Crystalbet Erovnuli Liga
football,Germany,Oberliga Play Offs
football,Germany,DFB Pokal
football,Germany,Super Cup
football,Germany,Telekom Cup - winter
football,Germany,Junioren Bundesliga North
football,Georgia,Crystalbet Erovnuli Liga 2
football,Georgia,Georgian Cup
football,Georgia,Super Cup
football,Germany,Junioren Bundesliga South
football,Germany,Junioren Bundesliga West
football,Germany,Junioren Bundesliga Play Offs
football,Germany,DFB Junioren Pokal
football,Germany,Bundesliga Women
football,Germany,2. Bundesliga Women
football,Germany,DFB Pokal Women
football,Gambia,GFA League
football,Gabon,Championnat D1
football,France,Ligue 1
football,France,Ligue 2
football,France,National
football,France,National 2 - Group A
football,France,National 2 - Group B
football,France,National 2 - Group C
football,France,National 2 - Group D
football,France,Coupe de la Ligue
football,France,Coupe de France
football,France,Super Cup
football,France,Division 1 Women
football,France,Division 2 Women
football,France,Coupe de France Women
football,France,Super Cup Women
football,Finland,Veikkausliiga
football,Finland,Ykkonen
football,Finland,Kakkonen Group A
football,Finland,Kakkonen Group B
football,Finland,Kakkonen Group C
football,Finland,Kakkonen Play Offs
football,Finland,Suomen Cup
football,Fiji,Premier League
football,Finland,Kakkosen Cup
football,Finland,Kansallinen Liiga Women
football,Finland,Suomen Cup Women
football,Faroe Islands,Premier League
football,Faroe Islands,Faroe Islands Cup
football,Faroe Islands,Super Cup
football,Ethiopia,Premier League
football,Eswatini,Swazi MTN Premier League
football,Estonia,Meistriliiga
football,Estonia,Esiliiga
football,Estonia,Estonian Cup
football,Estonia,Super Cup
football,England,Premier League
football,England,Championship
football,England,League One
football,England,League Two
football,England,National League
football,England,National League North
football,England,National League South
football,England,NPL Premier Division
football,England,Southern League Central Division
football,England,Southern League South Division
football,England,Isthmian League Premier Division
football,England,Non League Premier - Play Offs
football,England,Professional Development League
football,England,EFL Cup
football,England,EFL Trophy
football,England,FA Cup
football,England,FA Trophy
football,England,FA Community Shield
football,England,Premier League Cup
football,England,Premier League International Cup
football,England,Premier League 2
football,England,Premier League U18
football,England,FA Youth Cup
football,England,Women’s Super League
football,England,Women’s Championship
football,England,Women’s FA Cup
football,England,Women's League Cup
football,England,Women's FA Community Shield
football,El Salvador,Primera Division
football,Egypt,Premier League
football,Egypt,Egypt Cup
football,Egypt,Super Cup
football,Ecuador,Liga Pro
football,Ecuador,Serie B
football,Ecuador,Copa Ecuador
football,Ecuador,Super Cup
football,DR Congo,Ligue 1
football,Dominican Republic,LDF
football,Djibouti,Division 1
football,Denmark,Superliga
football,Denmark,1st Division
football,Denmark,2nd Division - Group 1
football,Denmark,2nd Division - Group 2
football,Denmark,2nd Division - Group 3
football,Denmark,2nd Division - Promotion Group
football,Denmark,2nd Division - Relegation Group
football,Denmark,Landspokal Cup
football,Denmark,Elitedivisionen Women
football,Denmark,Danish Cup Women
football,Czech Republic,1. Liga
football,Czech Republic,Division 2
football,Czech Republic,CFL - Group A
football,Czech Republic,CFL - Group B
football,Czech Republic,MSFL
football,Czech Republic,Division A
football,Czech Republic,Division B
football,Czech Republic,Division C
football,Czech Republic,Division D
football,Czech Republic,Division E
football,Czech Republic,Division F
football,Czech Republic,Moravskoslezsky KP
football,Czech Republic,Zlinsky KP
football,Czech Republic,Jihomoravsky KP
football,Czech Republic,Vysocina KP
football,Czech Republic,Kralovehradecky KP
football,Czech Republic,Liberecky KP
football,Czech Republic,Ustecky KP
football,Czech Republic,Plzensky KP
football,Czech Republic,Jihocesky KP
football,Czech Republic,Prazsky prebor
football,Czech Republic,Stredocesky KP
football,Czech Republic,Karlovarsky KP
football,Czech Republic,Olomoucky KP
football,Czech Republic,Pardubicky KP
football,Czech Republic,MOL Cup
football,Czech Republic,Super Cup
football,Czech Republic,Youth League
football,Czech Republic,U19 League
football,Czech Republic,Tipsport liga
football,Czech Republic,CFL
football,Czech Republic,1. Liga Women
football,Czech Republic,2. Liga Women
football,Czech Republic,Czech Cup Women
football,Cyprus,First Division
football,Cyprus,Division 2
football,Cyprus,Cyprus Cup
football,Cyprus,Super Cup
football,Curaçao,Promé Divishon
football,Croatia,1. HNL
football,Croatia,2. HNL
football,Croatia,3. HNL Center
football,Costa Rica,Primera Division
football,Croatia,3. HNL North
football,Croatia,3. HNL South
football,Croatia,3. HNL East
football,Croatia,3. HNL West
football,Costa Rica,Liga de Ascenso
football,Costa Rica,Super Cup
football,Croatia,Croatian Cup
football,Croatia,Super Cup
football,Colombia,Primera A
football,Colombia,Primera B
football,Colombia,Copa Colombia
football,Colombia,Super Cup
football,Colombia,Liga Women
football,China,Super League
football,China,Jia League
football,China,Yi League
football,China,FA Cup
football,China,Super Cup
football,China,Super League Women
football,Chile,Primera Division
football,Chile,Primera B
football,Chile,Segunda Division
football,Chile,Chilean Cup
