sport,country,league,season,match_time,home_team,away_team,scraped_date
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Shakhtar Donetsk,FK Zorya Luhansk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Chaika,Karpaty Halych,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,18.12. 04:45,Al Bataeh,Masafi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Prykarpattya,Veres-Rivne,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Lviv U21,Desna U21,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Vorskla Poltava,Oleksandriya,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Chernihiv,Rubikon Kyiv,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,19.12. 04:45,Al Arabi,Dibba Al Hisn,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,VPK-Agro,Kramatorsk,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Mariupol U21,Rukh Lviv U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Dnipro-1,Oleksandriya,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Kryvbas 2020,Real Pharma,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Nova Kakhovka,Mykolaiv 2,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,19.12. 04:45,Al Thaid,Masfut,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,25.12. 04:45,Al-Taawon,Al Arabi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Zhytomyr,Krystal,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Oleksandriya U21,Shakhtar Donetsk U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Dyn. Kyiv,Minaj,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Nyva Vinnytsya,Volyn Lutsk 2,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,25.12. 04:45,Dibba Al Hisn,Al Urooba,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Alliance,Ahrobiznes Volochysk,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Hirnyk-Sport,VPK-Agro,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Zorya U21,Olimpik Donetsk U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,FK Zorya Luhansk,Lviv,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Inhulets,Kolos Kovalivka,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Podillya Khmelnytskyi,Karpaty,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Uzhhorod,Obolon 2,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,26.12. 04:45,Emirates Club,Al Hamriyah,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Kramatorsk,Nyva Ternopil,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Desna U21,Kolos Kovalivka U21,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Mariupol U21,Lviv U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Mariupol,Vorskla Poltava,2020-12-15
football,Ukraine,Druha Liga,2020/2021,28.03. 07:00,Metal Kharkiv,Dnipro Cherkasy,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,26.12. 04:45,Masafi,Dibba Al Fujairah,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Metalist 1925,Krystal,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Olimpik Donetsk U21,Inhulets U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Olimpik Donetsk,Shakhtar Donetsk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,28.03. 07:00,MFC Metalurh,Nikopol,2020-12-15
football,Ukraine,Druha Liga,2020/2021,28.03. 07:00,Yarud Mariupol,Tavriya,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,26.12. 04:45,Masfut,Al Bataeh,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Obolon,Kremin,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Prykarpattya,Zhytomyr,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Rukh Lviv U21,Oleksandriya U21,2020-12-15
football,Ukraine,Premier League,2020/2021,06.03. 07:00,Rukh Lviv,Desna,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Bukovyna,Chaika,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,01.01. 04:50,Al Arabi,Masafi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Veres-Rivne,Ch. Odessa,2020-12-15
football,Ukraine,Persha Liga,2020/2021,31.03. 07:30,Volyn Lutsk,Mykolaiv,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Shakhtar Donetsk U21,Dnipro-1 U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,FK Zorya Luhansk,Dyn. Kyiv,2020-12-15
football,Ukraine,Premier League,2020/2021,13.03. 07:00,Lviv,Rukh Lviv,2020-12-15
football,Ukraine,Druha Liga,2020/2021,03.04. 07:00,Dinaz Vyshgorod,Uzhhorod,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,01.01. 04:50,Al Bataeh,Al Thaid,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.04. 07:30,Ahrobiznes Volochysk,Volyn Lutsk,2020-12-15
football,Ukraine,Youth League,2020/2021,30.04. 05:00,Vorskla Poltava U21,Dynamo Kiev U21,2020-12-15
